#中国电信寻呼 p05
198 全国198/199
bj126 北京126/127
sh126 上海126/127
sh128 上海128/129
sh1250 上海1250
tj126 天津126/127
cq126 重庆126/127
he126 河北126/127
ha126 河南126/127
ha128 河南128/129
gd126 广东126/127
gd129 广东128/129
gd991 广东991
gd95955 广东95955
gx126 广西126/127
fj126 福建126/127
fj128 福建128/129
sd126 山东126/127
sd998 山东998/999
sd9898 山东9898/9899
zj126 浙江126/127
zj128 浙江128/129
hb126 湖北126/127
hb128 湖北128/129
hb997 湖北997
hn126 湖南126/127
xx126 陕西126/127
xx992 陕西992
xx999 陕西999
jx126 江西126/127
js126 江苏126/127
sx126 山西126/127
nx126 宁夏126/127
nm126 内蒙古126/127
xj126 新疆126/127
qh126 青海126/127
hl126 黑龙江126/127
jl126 吉林126/127
ah126 安徽126/127
ah128 安徽128/129
gs126 甘肃126/127
hq126 海南126/127
gz126 贵州126/127
gz987 贵州987/988
yn126 云南126/127
xz126 西藏126/127
he126ts 河北唐山126/127本地
he126xt 河北邢台126/127本地
lnsy129 辽宁沈阳129
lndl129 辽宁大连129
lnas129 辽宁鞍山129
lnfs129 辽宁抚顺129
lnbx129 辽宁本溪129
lndd129 辽宁丹东129
lnjz129 辽宁锦州129
lnyk129 辽宁营口129
lnfx129 辽宁阜新129
lnly129 辽宁辽阳129
lntl129 辽宁铁岭129
lntl999 辽宁铁岭999
lncy129 辽宁朝阳129
lnpj129 辽宁盘锦129
lnhld129 辽宁葫芦岛129
lnhld199 辽宁葫芦岛199
sc129 四川128/129
sc0028 四川成都
sc0830 四川泸州
sc0816 四川绵阳
sc0832 四川内江
sc0825 四川遂宁
sc0831 四川宜宾
sc0826 四川广安
sc0827 四川巴中
sc0839 四川广元
sc0834 四川凉山
sc0818 四川达川
sc0812 四川攀枝花
sc0835 四川雅安
sc0813 四川自贡
sc0817 四川南充
sc0833 四川乐山
sc0838 四川德阳

#中国联通寻呼 p04
191/192 191/192

#中北寻呼 p09
01 北京
02 上海
03 广州
04 深圳
05 重庆
06 石家庄
07 福州
08 太原
09 济南
10 青岛
11 哈尔滨
12 南京
13 杭州
14 宁波
15 成都
16 昆明
17 西安
18 沈阳
19 大连
1A 包头
20 长春
21 天津
22 呼和浩特
23 新疆
24 常州
25 徐州
26 台州
27 厦门
28 洛阳
29 烟台
30 郑州
31 武汉
32 长沙
33 汕头
34 湛江
35 南宁
36 海南
37 贵阳
38 合肥
39 大庆
40 佳木斯
46 东营
41 唐山
42 金华
43 遵义
45 济宁
44 潍坊
47 威海
1B 柳州
2A 玉林
5A 曲靖
4B 宁夏
2B 锦州
3A 西宁
5B 鞍山
1C 江西
1D 红河
2D 宜昌
3D 宝鸡
2E 绥化
4A 兰州
1E 临沂
4D 吉林
3E 楚雄
4E 大理
5E 玉溪
3C 邯郸
5F 张家口
4C 拉萨

#润迅寻呼 p01
H 95800全国联网
H 95801全国联网自动
A 9902全国联网
C 95952广东联网
E 95953广东联网
I 99021广东联网自动
F 94996广东区域联网
G 94997广东区域联网
HK 香港润迅
null --深圳润迅本地台-- 
D6 99016智能台
D7 99017智能台
D8 99018智能台
D9 99019智能台
9901 99010自动台
9991 9991秘书台
5528 5588988中文
5518 5599888中文
5501 5566888
5502 5566999
5503 2288888
5522 8888888
5506 2188811
5507 2188822
5508 2188833
5509 2188866
5510 2188888
5511 2188899
5512 2188311
5513 2188322
5514 2188366
5515 2188388
5516 2188399
5517 2188188
5519 2188988
5520 2188288
5521 2188000
5524 2188333
5525 2188810
5526 2188821
5527 2188666
5529 2188688
5530 2188999
5532 2199888
5533 2199999
5530 2188999
5505 2287999
5531 6633888
5541 6661111
5542 6662222
5543 6663333
5544 6661666
5545 6662666
5546 6666666
5547 6667777
5548 6668888
5549 6669999
5550 6660000
9901 9901
5523 9868
null --广州润迅本地台-- 
2051 99011 
2052 99012 
3020 99036 
2053 99038 
8082 98082 
2044 87608888
2009 9807709 
2061 9807766 
2062 9807777 
2001 980811 
2001 980810 
2003 980812 
2003 980813 
8008 9807708
2008 980818 
2008 980819 
2054 99030 
null --广东其他润迅本地台--
6001 中山8818818 
6000 中山9908 
6000 中山99088
6002 中山99039
5202 惠州9800 
5202 惠州9801 
5202 惠州9898 
5202 惠州98098
6900 东莞99668
6900 东莞99666
5700 佛山98093
5700 佛山99093
6500 顺德2279888 
6501 顺德99322智能台
5401 汕头8468888 
5403 汕头990263 
6601 汕尾9908智能台 
5600 珠海8878888 
5601 珠海99011智能台
5602 珠海98000本地经济台
5202 河源9800 
5001 江门99008
5101 韶关8893388
5101 韶关9819
5901 湛江9901自动/智能台
6300 清远3373888 
6300 清远98002 
6303 清远99013 
null --全国其他润迅台--
A 北京(6594)9902
A 上海(6487)9902
2101 上海64879988
A 南京(443)9902
2501 南京4433888
A 杭州(703)9902
7101 杭州7918899
A 台州2458181
A 大庆95800/6379902
4591 大庆6367788
4591 大庆4666677

#万声寻呼 p06
95900 95900(7位呼号)
10 北京万声
01 上海万声
02 南京万声
03 无锡万声
04 常州万声
05 苏州万声
06 杭州万声
07 绍兴万声
08 宁波万声
09 嘉兴万声
11 天津万声
12 沈阳万声
13 大连万声
15 济南万声
16 青岛万声
17 广州万声
18 深圳万声
19 珠海万声
20 湛江万声
21 长沙万声
22 哈市万声
23 洛阳万声
24 潍坊万声
25 大庆万声
26 台州万声
27 唐山万声
28 汕头万声
29 武汉万声
30 成都万声
31 新乡万声
32 郑州万声
33 重庆万声
34 盐城万声
35 长春万声
37 临沂万声
38 金华万声
39 日照万声
40 昆明万声
41 保定万声
42 沧州万声
43 海南万声
44 厦门万声
45 大同万声
46 福州万声
47 东莞万声
49 惠州万声
50 宜昌万声
51 荆州万声
52 襄樊万声
53 孝感万声
54 合肥万声
56 南通万声
57 漯河万声
58 烟台万声

#万立通寻呼 p12
95960 95960(7位呼号)
BJ 北京95960/95961
SH 上海95960/95961
TJ 天津95960/95961
CQ 重庆95960/95961
WA 武汉95960/95961
XA 西安95960/95961
HS 呼市95960/95961
TY 太原95960/95961
CD 成都95960/95961
HB 哈尔滨95960/95961
SJ 石家庄95960/95961
NJ 南京95960/95961
GZ 广州95960/95961
SZ 深圳95960/95961
ZH 珠海95960/95961
DG 东莞95960/95961
ST 汕头95960/95961
CY 潮阳95960/95961
JY 揭阳95960/95961
ZQ 肇庆95960/95961
YF 云浮95960/95961
HZ 杭州95960/95961
JX 嘉兴95960/95961
SX 绍兴95960/95961
JH 金华95960/95961
ZS 舟山95960/95961
YY 余姚95960/95961
QU 衢州95960/95961
WU  温州95960/95961
LS 丽水95960/95961
NB 宁波95960/95961
WZ 湖州95960/95961
TZ 台州95960/95961
ZJ 镇江95960/95961
SU 苏州95960/95961
NT 南通95960/95961
CZ 常州95960/95961
WX 无锡95960/95961
XZ 徐州95960/95961
HI 淮阴95960/95961
YC 盐城95960/95961
LG 连云港95960/95961
NC 南昌95960/95961
ZZ 郑州95960/95961
WQ 乌市95960/95961
HM 哈密95960/95961
SE 石河子95960/95961
KR 库尔勒95960/95961
KS 喀什95960/95961
QZ 泉州95960/95961
FZ 福州95960/95961
LZ 兰州95960/95961
JN 济南95960/95961
QD 青岛95960/95961
WH 威海95960/95961
ZB 淄博95960/95961
DY 东营95960/95961
SY 沈阳95960/95961
DL 大连95960/95961
DD 丹东95960/95961
JZ 锦州95960/95961
ZY 张掖95960/95961
BH 北海95960/95961
YZ 扬州95960/95961
JQ 酒泉95960/95961
GY 贵阳95960/95961
YT 烟台95960/95961
ZG 自贡95960/95961
WS 乌苏95960/95961
HY 衡阳95960/95961
BL 博乐95960/95961
DQ 大庆95960/95961
AL 阿勒泰95960/95961
HK 海口95960/95961
NP 南平95960/95961

#中铁寻呼 p10
100 北京光信台 
null -----哈尔滨局----- 
150 哈尔滨 
154 佳木斯
153 南岔/伊春 
157 牡丹江 
158 鸡西 
161 齐齐哈尔 
163 大庆 
164 北安 
165 加格达奇 
921 海拉尔 
922 伊图里河/图里河 
null ------沈阳局------ 
965 山海关
130 长春
132 吉林
133 图们市
134 通化
135 梅河口
136 四平
137 白城/大安北
110 沈阳
111 鞍山/辽阳
112 铁岭
113 抚顺
115 大石桥
116 大连
117 本溪
118 丹东
121 锦州
122 叶柏寿
123 阜新
924 赤峰
928 通辽/郑家屯
null ------北京局------ 
101 北京局台
300 天津
560 邯郸
950 石家庄
952 衡水
953 保定
961 沧州
963 唐山
964 丰润
966 秦皇岛
930 太原/榆次/原平/忻州
937 大同
938 朔州
941 临汾
null ----呼和浩特局----
910 呼和浩特
912 集宁
914 包头
915 乌海/临河
null ------郑州局------ 
430 武汉
441 襄樊
450 郑州
453 新乡
464 信阳
471 洛阳
472 三门峡
473 南阳
475 开封
710 西安
721 宝鸡
725 安康
947 长治北
null ------济南局------ 
221 徐州
250 济南
252 聊城/荷泽
255 淄博
261 潍坊
264 烟台
266 青岛
271 泰安
272 兖州
276 临沂
277 枣庄
null -----上海局----- 
200 上海
210 南京/常州
215 苏州
230 合肥
233 蚌埠
236 阜阳
241 芜湖
245 黄山
246 安庆
310 杭州/温岭/台州
321 金华
315 宁波
350 福州/永安/邵武
361 厦门
null ------南昌局------ 
330 南昌
332 九江
334 上饶
335 赢潭
336 新余/萍乡
341 赣州/吉安
431 麻城
null ------广州局------ 
410 长沙
412 株州
417 娄底
418 怀化
421 衡阳
423 彬州
510 广州/肇庆
512 韶关
516 惠州
518 深圳
570 海南
